group,b,N,batch,factor_idx,log_n,time_ms
single_factor,2,512,1,0,8,0.10393600463867188
single_factor,2,512,1,1,8,0.1285529613494873
single_factor,2,512,1,2,8,0.12849151611328125
single_factor,2,512,1,3,8,0.1275391960144043
single_factor,2,512,1,4,8,0.12785663604736328
single_factor,2,512,1,5,8,0.12776448249816894
single_factor,2,512,1,6,8,0.12712960243225097
single_factor,2,512,1,7,8,0.12827648162841798
single_factor,2,512,2,0,8,0.10559488296508789
single_factor,2,512,2,1,8,0.1279487991333008
single_factor,2,512,2,2,8,0.12776448249816894
single_factor,2,512,2,3,8,0.1283174419403076
single_factor,2,512,2,4,8,0.12761088371276855
single_factor,2,512,2,5,8,0.12858367919921876
single_factor,2,512,2,6,8,0.12749823570251465
single_factor,2,512,2,7,8,0.12710911750793458
single_factor,2,512,4,0,8,0.10545151710510253
single_factor,2,512,4,1,8,0.1277952003479004
single_factor,2,512,4,2,8,0.12738559722900392
single_factor,2,512,4,3,8,0.12737536430358887
single_factor,2,512,4,4,8,0.12703743934631348
single_factor,2,512,4,5,8,0.12807168006896974
single_factor,2,512,4,6,8,0.12721152305603028
single_factor,2,512,4,7,8,0.12750847816467284
single_factor,2,512,8,0,8,0.10613759994506836
single_factor,2,512,8,1,8,0.12750847816467284
single_factor,2,512,8,2,8,0.12726271629333497
single_factor,2,512,8,3,8,0.1273958396911621
single_factor,2,512,8,4,8,0.1275596809387207
single_factor,2,512,8,5,8,0.12784640312194825
single_factor,2,512,8,6,8,0.1275596809387207
single_factor,2,512,8,7,8,0.1277030372619629
single_factor,2,512,16,0,8,0.1063424015045166
single_factor,2,512,16,1,8,0.1277952003479004
single_factor,2,512,16,2,8,0.12890111923217773
single_factor,2,512,16,3,8,0.12810239791870118
single_factor,2,512,16,4,8,0.12769280433654784
single_factor,2,512,16,5,8,0.1274880027770996
single_factor,2,512,16,6,8,0.12771327972412108
single_factor,2,512,16,7,8,0.12849151611328125
single_factor,2,512,32,0,8,0.1053593635559082
single_factor,2,512,32,1,8,0.12809215545654296
single_factor,2,512,32,2,8,0.12796928405761718
single_factor,2,512,32,3,8,0.12775424003601074
single_factor,2,512,32,4,8,0.12724224090576172
single_factor,2,512,32,5,8,0.12744704246520996
single_factor,2,512,32,6,8,0.12709888458251953
single_factor,2,512,32,7,8,0.12744704246520996
single_factor,2,512,64,0,8,0.10490880012512208
single_factor,2,512,64,1,8,0.1275596809387207
single_factor,2,512,64,2,8,0.1278054428100586
single_factor,2,512,64,3,8,0.1276416015625
single_factor,2,512,64,4,8,0.12807168006896974
single_factor,2,512,64,5,8,0.1274060821533203
single_factor,2,512,64,6,8,0.12822527885437013
single_factor,2,512,64,7,8,0.12727295875549316
single_factor,2,512,128,0,8,0.10552319526672363
single_factor,2,512,128,1,8,0.1286963176727295
single_factor,2,512,128,2,8,0.1286451244354248
single_factor,2,512,128,3,8,0.1283276844024658
single_factor,2,512,128,4,8,0.12802047729492189
single_factor,2,512,128,5,8,0.1277030372619629
single_factor,2,512,128,6,8,0.12809215545654296
single_factor,2,512,128,7,8,0.12767231941223145
single_factor,2,512,256,0,8,0.10524671554565429
single_factor,2,512,256,1,8,0.12857343673706054
single_factor,2,512,256,2,8,0.12849151611328125
single_factor,2,512,256,3,8,0.12824576377868652
single_factor,2,512,256,4,8,0.12856320381164552
single_factor,2,512,256,5,8,0.12843008041381837
single_factor,2,512,256,6,8,0.12826623916625976
single_factor,2,512,256,7,8,0.12976127624511719
single_factor,2,512,512,0,8,0.10660863876342773
single_factor,2,512,512,1,8,0.12882944107055663
single_factor,2,512,512,2,8,0.1288806438446045
single_factor,2,512,512,3,8,0.12924927711486817
single_factor,2,512,512,4,8,0.12893183708190917
single_factor,2,512,512,5,8,0.12924927711486817
single_factor,2,512,512,6,8,0.12914688110351563
single_factor,2,512,512,7,8,0.12877823829650878
single_factor,2,512,1024,0,8,0.10591232299804687
single_factor,2,512,1024,1,8,0.12931072235107421
single_factor,2,512,1024,2,8,0.12980223655700684
single_factor,2,512,1024,3,8,0.1288806438446045
single_factor,2,512,1024,4,8,0.12906496047973634
single_factor,2,512,1024,5,8,0.12908543586730958
single_factor,2,512,1024,6,8,0.12896256446838378
single_factor,2,512,1024,7,8,0.12928000450134278
single_factor,2,512,2048,0,8,0.10622976303100586
single_factor,2,512,2048,1,8,0.13001728057861328
single_factor,2,512,2048,2,8,0.13005824089050294
single_factor,2,512,2048,3,8,0.13004799842834472
single_factor,2,512,2048,4,8,0.1303756809234619
single_factor,2,512,2048,5,8,0.12992511749267577
single_factor,2,512,2048,6,8,0.13054976463317872
single_factor,2,512,2048,7,8,0.13024255752563477
single_factor,2,512,4096,0,8,0.16975872039794923
single_factor,2,512,4096,1,8,0.17510400772094725
single_factor,2,512,4096,2,8,0.17532928466796874
single_factor,2,512,4096,3,8,0.17447935104370116
single_factor,2,512,4096,4,8,0.17674240112304687
single_factor,2,512,4096,5,8,0.17715200424194336
single_factor,2,512,4096,6,8,0.17878015518188475
single_factor,2,512,4096,7,8,0.1796403121948242
single_factor,2,1024,1,0,9,0.10155008316040039
single_factor,2,1024,1,1,9,0.1286348819732666
single_factor,2,1024,1,2,9,0.12759039878845216
single_factor,2,1024,1,3,9,0.12828672409057618
single_factor,2,1024,1,4,9,0.1277337646484375
