,patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
0,"[[1, 48, 48, 1]]",25088,sparse,0.0003517820313572,0.0003517820313572,0.0,[0.0003517820313572884],bs_first,fp16,NVIDIA_A100-PCIE-40GB
1,"[[1, 48, 192, 1]]",25088,sparse,0.0036622136086225,0.0036622136086225,0.0,[0.003662213608622551],bs_first,fp16,NVIDIA_A100-PCIE-40GB
2,"[[1, 64, 64, 1]]",25088,sparse,0.001156950276345,0.001156950276345,0.0,[0.0011569502763450145],bs_first,fp16,NVIDIA_A100-PCIE-40GB
3,"[[1, 64, 256, 1]]",25088,sparse,0.009773351624608,0.009773351624608,3.1466782093049137e-05,"[0.009804818406701088, 0.009741884842514991]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
4,"[[1, 96, 96, 1]]",25088,sparse,0.0029492347501218,0.0029492347501218,0.0,[0.002949234750121832],bs_first,fp16,NVIDIA_A100-PCIE-40GB
5,"[[1, 96, 384, 1]]",25088,sparse,0.0351193242706358,0.0351193242706358,3.414256498217999e-05,"[0.03508518170565367, 0.03515346683561802]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
6,"[[1, 128, 128, 1]]",25088,sparse,0.0061855532228946,0.0061855532228946,2.2511929273615755e-06,"[0.0061878044158220295, 0.006183302029967308]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
7,"[[1, 128, 512, 1]]",25088,sparse,0.0618691385856696,0.0619032764807343,0.0002289884723722,"[0.0618783850222826, 0.06153581291437149, 0.06179889850318432, 0.06176549941301346, 0.06190592236816883, 0.06202072277665138, 0.0620759055018425, 0.061615126207470894, 0.062026722356677055, 0.06202451325953007, 0.061900630593299866, 0.06194918230175972, 0.061941877007484436, 0.061728741973638535]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
8,"[[1, 192, 48, 1]]",25088,sparse,0.0017694179527461,0.0017694179527461,0.0,[0.001769417952746153],bs_first,fp16,NVIDIA_A100-PCIE-40GB
9,"[[1, 192, 192, 1]]",25088,sparse,0.0201723949983716,0.0201723949983716,2.094823867082596e-05,"[0.020151446759700774, 0.020193343237042426]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
10,"[[1, 192, 768, 1]]",25088,sparse,0.2019443626826008,0.2020500609651208,0.0004185028374195,"[0.20201093703508377, 0.20208918489515781, 0.2021520584821701, 0.2023936603218317, 0.20141319371759892, 0.20178202539682388, 0.20235197618603706, 0.2012930680066347, 0.20219184458255768, 0.20211573876440525, 0.2016279324889183, 0.2019107323139906]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
11,"[[1, 256, 64, 1]]",25088,sparse,0.0045961454696953,0.0045961454696953,0.0,[0.00459614546969533],bs_first,fp16,NVIDIA_A100-PCIE-40GB
12,"[[1, 256, 256, 1]]",25088,sparse,0.0391720970161259,0.0391720970161259,2.361582592130124e-05,"[0.03919571284204722, 0.03914848119020462]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
13,"[[1, 256, 1024, 1]]",25088,sparse,0.3247502388743062,0.3247591452673077,0.0002362625673413,"[0.32499405182898045, 0.32465848699212074, 0.32454511150717735, 0.324817419052124, 0.3244137894362211, 0.3247231300920248, 0.3247951604425907, 0.3249404262751341, 0.3248644396662712, 0.3246132340282202, 0.3249690253287554, 0.3246685918420553]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
14,"[[1, 384, 96, 1]]",25088,sparse,0.0114566703327,0.0114566703327,1.1854153126477154e-05,"[0.011468524485826493, 0.011444816179573537]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
15,"[[1, 384, 384, 1]]",25088,sparse,0.1299134116958488,0.1299347672611475,0.0001831585541367,"[0.13005759939551353, 0.12964150868356228, 0.1299347672611475, 0.12996695190668106, 0.12994478456676006, 0.12992339953780174, 0.13040832802653313, 0.1299097239971161, 0.1297067366540432, 0.13001582585275173, 0.1295379027724266]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
16,"[[1, 512, 128, 1]]",25088,sparse,0.0282205575145781,0.0282205575145781,1.5612784773109262e-05,"[0.028204944729804993, 0.028236170299351215]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
