group,b,c,M,N,a,d,batch_size,triton_ms,cuda_ms,cuda_error
group1,2,2,512,512,1,256,1,0.023852,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (1, 1, 2, 2, 256, half, 4) in the .best file, nor could we find d"
group1,2,2,512,512,1,256,2,0.036529,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (2, 1, 2, 2, 256, half, 4) in the .best file, nor could we find d"
group1,2,2,512,512,1,256,4,0.037623,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (4, 1, 2, 2, 256, half, 4) in the .best file, nor could we find d"
group1,2,2,512,512,1,256,8,0.038470,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (8, 1, 2, 2, 256, half, 4) in the .best file, nor could we find d"
group1,2,2,512,512,1,256,16,0.037737,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (16, 1, 2, 2, 256, half, 4) in the .best file, nor could we find "
group1,2,2,512,512,1,256,32,0.036774,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (32, 1, 2, 2, 256, half, 4) in the .best file, nor could we find "
group1,2,2,512,512,1,256,64,0.036182,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (64, 1, 2, 2, 256, half, 4) in the .best file, nor could we find "
group1,2,2,512,512,1,256,128,0.038336,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (128, 1, 2, 2, 256, half, 4) in the .best file, nor could we find"
group1,2,2,512,512,1,256,256,0.037974,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (256, 1, 2, 2, 256, half, 4) in the .best file, nor could we find"
group1,2,2,512,512,1,256,512,0.039667,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (512, 1, 2, 2, 256, half, 4) in the .best file, nor could we find"
