group,b,c,M,N,a,d,batch_size,triton_ms,bmm_ms,cuda_ms,cuda_error
group1,2,2,512,512,1,256,2,0.099438,0.132548,,
group1,2,2,512,512,1,256,4,0.099888,0.132183,,
group1,2,2,512,512,1,256,8,0.100647,0.133230,,
group1,2,2,512,512,1,256,16,0.100333,0.133284,,
group1,2,2,512,512,1,256,32,0.100140,0.132832,,
group1,2,2,512,512,1,256,64,0.099544,0.133264,,
group1,2,2,512,512,1,256,128,0.099989,0.133334,,
group1,2,2,512,512,1,256,256,0.100093,0.133322,,
group1,2,2,512,512,1,256,512,0.100512,0.133455,,
group1,2,2,512,512,1,256,1024,0.100527,0.133467,,
group1,2,2,512,512,1,256,2048,0.100413,0.133583,,
group1,2,2,512,512,1,256,4096,0.101172,0.133894,,
group1,2,2,512,512,2,128,2,0.099939,0.128537,,
group1,2,2,512,512,2,128,4,0.099849,0.129287,,
group1,2,2,512,512,2,128,8,0.100504,0.129473,,
group1,2,2,512,512,2,128,16,0.100019,0.129359,,
group1,2,2,512,512,2,128,32,0.099951,0.129431,,
group1,2,2,512,512,2,128,64,0.099953,0.129789,,
group1,2,2,512,512,2,128,128,0.100304,0.128903,,
group1,2,2,512,512,2,128,256,0.100190,0.129181,,
group1,2,2,512,512,2,128,512,0.100776,0.129209,,
group1,2,2,512,512,2,128,1024,0.100682,0.128905,,
group1,2,2,512,512,2,128,2048,0.100982,0.128850,,
group1,2,2,512,512,2,128,4096,0.101210,0.129572,,
group1,2,2,512,512,4,64,2,0.099887,0.128302,,
group1,2,2,512,512,4,64,4,0.100028,0.129296,,
group1,2,2,512,512,4,64,8,0.100233,0.129371,,
group1,2,2,512,512,4,64,16,0.100185,0.129045,,
group1,2,2,512,512,4,64,32,0.100431,0.129013,,
group1,2,2,512,512,4,64,64,0.100135,0.128945,,
group1,2,2,512,512,4,64,128,0.100321,0.128691,,
group1,2,2,512,512,4,64,256,0.100261,0.129155,,
group1,2,2,512,512,4,64,512,0.100156,0.129155,,
group1,2,2,512,512,4,64,1024,0.100856,0.128971,,
group1,2,2,512,512,4,64,2048,0.100796,0.128945,,
group1,2,2,512,512,4,64,4096,0.101380,0.130047,,
group1,2,2,512,512,8,32,2,0.099822,0.128446,,
group1,2,2,512,512,8,32,4,0.100049,0.129243,,
group1,2,2,512,512,8,32,8,0.100293,0.128871,,
group1,2,2,512,512,8,32,16,0.100070,0.129581,,
group1,2,2,512,512,8,32,32,0.100024,0.129595,,
group1,2,2,512,512,8,32,64,0.100007,0.129388,,
group1,2,2,512,512,8,32,128,0.100505,0.129451,,
group1,2,2,512,512,8,32,256,0.100068,0.129041,,
group1,2,2,512,512,8,32,512,0.101233,0.129901,,
group1,2,2,512,512,8,32,1024,0.100799,0.128787,,
group1,2,2,512,512,8,32,2048,0.101276,0.129046,,
group1,2,2,512,512,8,32,4096,0.101367,0.129806,,
group1,2,2,512,512,16,16,2,0.099781,0.128605,,
group1,2,2,512,512,16,16,4,0.099662,0.129034,,
group1,2,2,512,512,16,16,8,0.099828,0.128682,,
group1,2,2,512,512,16,16,16,0.099946,0.129388,,
group1,2,2,512,512,16,16,32,0.099937,0.128829,,
group1,2,2,512,512,16,16,64,0.099805,0.129432,,
group1,2,2,512,512,16,16,128,0.099891,0.128694,,
group1,2,2,512,512,16,16,256,0.099909,0.128741,,
group1,2,2,512,512,16,16,512,0.100387,0.128887,,
group1,2,2,512,512,16,16,1024,0.100603,0.128645,,
group1,2,2,512,512,16,16,2048,0.100648,0.129126,,
group1,2,2,512,512,16,16,4096,0.101265,0.130249,,
group1,2,2,512,512,32,8,2,0.099773,0.128532,,
group1,2,2,512,512,32,8,4,0.099570,0.128377,,
group1,2,2,512,512,32,8,8,0.100136,0.129010,,
group1,2,2,512,512,32,8,16,0.100353,0.128387,,
group1,2,2,512,512,32,8,32,0.099812,0.128858,,
group1,2,2,512,512,32,8,64,0.100095,0.128275,,
group1,2,2,512,512,32,8,128,0.100203,0.128457,,
group1,2,2,512,512,32,8,256,0.099866,0.128621,,
group1,2,2,512,512,32,8,512,0.101078,0.129274,,
group1,2,2,512,512,32,8,1024,0.101042,0.128921,,
group1,2,2,512,512,32,8,2048,0.101076,0.128663,,
group1,2,2,512,512,32,8,4096,0.101233,0.129914,,
group1,2,2,512,512,64,4,2,0.099923,0.128652,,
group1,2,2,512,512,64,4,4,0.100470,0.128510,,
group1,2,2,512,512,64,4,8,0.100194,0.128774,,
group1,2,2,512,512,64,4,16,0.100230,0.128712,,
group1,2,2,512,512,64,4,32,0.099964,0.128981,,
group1,2,2,512,512,64,4,64,0.100441,0.128518,,
group1,2,2,512,512,64,4,128,0.100054,0.128548,,
group1,2,2,512,512,64,4,256,0.100173,0.129087,,
group1,2,2,512,512,64,4,512,0.100879,0.128755,,
group1,2,2,512,512,64,4,1024,0.100581,0.129096,,
group1,2,2,512,512,64,4,2048,0.101200,0.128866,,
group1,2,2,512,512,64,4,4096,0.101511,0.129771,,
group1,2,2,512,512,128,2,2,0.099686,0.128680,,
group1,2,2,512,512,128,2,4,0.099820,0.128979,,
group1,2,2,512,512,128,2,8,0.100033,0.128833,,
group1,2,2,512,512,128,2,16,0.100413,0.128884,,
group1,2,2,512,512,128,2,32,0.100098,0.129051,,
group1,2,2,512,512,128,2,64,0.100381,0.128523,,
group1,2,2,512,512,128,2,128,0.100649,0.129146,,
group1,2,2,512,512,128,2,256,0.100984,0.129107,,
group1,2,2,512,512,128,2,512,0.101298,0.128872,,
group1,2,2,512,512,128,2,1024,0.101390,0.129337,,
group1,2,2,512,512,128,2,2048,0.101528,0.128849,,
group1,2,2,512,512,128,2,4096,0.101592,0.129987,,
group1,2,2,512,512,256,1,2,0.100443,0.086651,,
group1,2,2,512,512,256,1,4,0.100639,0.086552,,
group1,2,2,512,512,256,1,8,0.100740,0.086943,,
group1,2,2,512,512,256,1,16,0.100186,0.086689,,
group1,2,2,512,512,256,1,32,0.100843,0.086870,,
group1,2,2,512,512,256,1,64,0.100515,0.086702,,
group1,2,2,512,512,256,1,128,0.100512,0.086539,,
group1,2,2,512,512,256,1,256,0.100517,0.086474,,
group1,2,2,512,512,256,1,512,0.100969,0.086695,,
