patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
"[[1, 48, 48, 1]]",25088,dense,5.01E-05,5.01E-05,0,[5.011036992073059e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 48, 192, 1]]",25088,dense,3.62E-05,3.62E-05,0,[3.617633134126663e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 64, 64, 1]]",25088,dense,4.24E-05,4.24E-05,0,[4.23501618206501e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 64, 256, 1]]",25088,dense,3.86E-05,3.86E-05,0,[3.863312304019928e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 96, 1]]",25088,dense,3.89E-05,3.89E-05,0,[3.894656896591186e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 1]]",25088,dense,4.02E-05,4.02E-05,0,[4.024643450975418e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 1]]",25088,dense,4.11E-05,4.11E-05,0,[4.1108299046754834e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 1]]",25088,dense,4.17E-05,4.17E-05,0,[4.166761413216591e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 1]]",25088,dense,3.97E-05,3.97E-05,0,[3.968130797147751e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 1]]",25088,dense,4.13E-05,4.13E-05,0,[4.1261427104473116e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 1]]",25088,dense,6.55E-05,6.55E-05,0,[6.551057100296021e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 1]]",25088,dense,3.72E-05,3.72E-05,0,[3.724498674273491e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 256, 1]]",25088,dense,3.41E-05,3.41E-05,0,[3.405548632144928e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 1024, 1]]",25088,dense,8.13E-05,8.13E-05,0,[8.134722709655762e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
