group,b,c,M,N,a,d,batch_size,triton_ms,cuda_ms,cuda_error
group1,2,2,512,512,1,256,1,0.063201,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (1, 1, 2, 2, 256, half, 4) in the .best file, nor could we find d"
group1,2,2,512,512,1,256,2,0.082557,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (2, 1, 2, 2, 256, half, 4) in the .best file, nor could we find d"
group1,2,2,512,512,1,256,4,0.086011,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (4, 1, 2, 2, 256, half, 4) in the .best file, nor could we find d"
group1,2,2,512,512,1,256,8,0.084730,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (8, 1, 2, 2, 256, half, 4) in the .best file, nor could we find d"
group1,2,2,512,512,1,256,16,0.099614,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (16, 1, 2, 2, 256, half, 4) in the .best file, nor could we find "
group1,2,2,512,512,1,256,32,0.081652,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (32, 1, 2, 2, 256, half, 4) in the .best file, nor could we find "
group1,2,2,512,512,1,256,64,0.081687,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (64, 1, 2, 2, 256, half, 4) in the .best file, nor could we find "
group1,2,2,512,512,1,256,128,0.101343,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (128, 1, 2, 2, 256, half, 4) in the .best file, nor could we find"
group1,2,2,512,512,1,256,256,0.083494,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (256, 1, 2, 2, 256, half, 4) in the .best file, nor could we find"
group1,2,2,512,512,1,256,512,0.084063,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (512, 1, 2, 2, 256, half, 4) in the .best file, nor could we find"
group1,2,2,512,512,1,256,1024,0.082980,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (1024, 1, 2, 2, 256, half, 4) in the .best file, nor could we fin"
group1,2,2,512,512,1,256,2048,0.085051,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (2048, 1, 2, 2, 256, half, 4) in the .best file, nor could we fin"
group1,2,2,512,512,1,256,4096,0.085764,,"ERROR: Could not find hyperparameters for the kernel instance corresponding to the target (batch_size, a, b, c, d, precision, VSIZE) = (4096, 1, 2, 2, 256, half, 4) in the .best file, nor could we fin"
