group,N,n,batch_size,stage,a,b,c,d,stage_triton_ms,total_chain_triton_ms
group2,512,9,2,0,256,2,2,1,0.036807,0.342557
group2,512,9,2,1,128,2,2,2,0.036913,
group2,512,9,2,2,64,2,2,4,0.037718,
group2,512,9,2,3,32,2,2,8,0.037297,
group2,512,9,2,4,16,2,2,16,0.037261,
group2,512,9,2,5,8,2,2,32,0.036862,
group2,512,9,2,6,4,2,2,64,0.037071,
group2,512,9,2,7,2,2,2,128,0.036890,
group2,512,9,2,8,1,2,2,256,0.037569,
group2,512,9,4,0,256,2,2,1,0.037187,0.342264
group2,512,9,4,1,128,2,2,2,0.037251,
group2,512,9,4,2,64,2,2,4,0.036991,
group2,512,9,4,3,32,2,2,8,0.037104,
group2,512,9,4,4,16,2,2,16,0.037008,
group2,512,9,4,5,8,2,2,32,0.036842,
group2,512,9,4,6,4,2,2,64,0.037062,
group2,512,9,4,7,2,2,2,128,0.036860,
group2,512,9,4,8,1,2,2,256,0.037255,
group2,512,9,8,0,256,2,2,1,0.037189,0.345982
group2,512,9,8,1,128,2,2,2,0.037255,
group2,512,9,8,2,64,2,2,4,0.036954,
group2,512,9,8,3,32,2,2,8,0.036545,
group2,512,9,8,4,16,2,2,16,0.036973,
group2,512,9,8,5,8,2,2,32,0.036465,
group2,512,9,8,6,4,2,2,64,0.037578,
group2,512,9,8,7,2,2,2,128,0.037481,
group2,512,9,8,8,1,2,2,256,0.037513,
group2,512,9,16,0,256,2,2,1,0.037462,0.344003
group2,512,9,16,1,128,2,2,2,0.038613,
group2,512,9,16,2,64,2,2,4,0.036766,
group2,512,9,16,3,32,2,2,8,0.037462,
group2,512,9,16,4,16,2,2,16,0.037211,
group2,512,9,16,5,8,2,2,32,0.037210,
group2,512,9,16,6,4,2,2,64,0.037188,
group2,512,9,16,7,2,2,2,128,0.037579,
group2,512,9,16,8,1,2,2,256,0.037172,
group2,512,9,32,0,256,2,2,1,0.038297,0.346422
group2,512,9,32,1,128,2,2,2,0.037621,
group2,512,9,32,2,64,2,2,4,0.037609,
group2,512,9,32,3,32,2,2,8,0.037347,
group2,512,9,32,4,16,2,2,16,0.037204,
group2,512,9,32,5,8,2,2,32,0.037865,
group2,512,9,32,6,4,2,2,64,0.037407,
group2,512,9,32,7,2,2,2,128,0.037333,
group2,512,9,32,8,1,2,2,256,0.037718,
group2,512,9,64,0,256,2,2,1,0.037642,0.348943
group2,512,9,64,1,128,2,2,2,0.037447,
group2,512,9,64,2,64,2,2,4,0.037753,
group2,512,9,64,3,32,2,2,8,0.037620,
group2,512,9,64,4,16,2,2,16,0.037565,
group2,512,9,64,5,8,2,2,32,0.037384,
group2,512,9,64,6,4,2,2,64,0.037662,
group2,512,9,64,7,2,2,2,128,0.037684,
group2,512,9,64,8,1,2,2,256,0.037359,
group2,512,9,128,0,256,2,2,1,0.037058,0.346921
group2,512,9,128,1,128,2,2,2,0.037214,
group2,512,9,128,2,64,2,2,4,0.036880,
group2,512,9,128,3,32,2,2,8,0.037237,
group2,512,9,128,4,16,2,2,16,0.036984,
group2,512,9,128,5,8,2,2,32,0.037483,
group2,512,9,128,6,4,2,2,64,0.037334,
group2,512,9,128,7,2,2,2,128,0.037470,
group2,512,9,128,8,1,2,2,256,0.037340,
group2,512,9,256,0,256,2,2,1,0.038296,0.349794
group2,512,9,256,1,128,2,2,2,0.038121,
group2,512,9,256,2,64,2,2,4,0.037574,
group2,512,9,256,3,32,2,2,8,0.037884,
group2,512,9,256,4,16,2,2,16,0.037929,
group2,512,9,256,5,8,2,2,32,0.038080,
group2,512,9,256,6,4,2,2,64,0.037672,
group2,512,9,256,7,2,2,2,128,0.037573,
group2,512,9,256,8,1,2,2,256,0.038041,
group2,512,9,512,0,256,2,2,1,0.037891,0.350589
group2,512,9,512,1,128,2,2,2,0.038044,
group2,512,9,512,2,64,2,2,4,0.037788,
group2,512,9,512,3,32,2,2,8,0.038115,
group2,512,9,512,4,16,2,2,16,0.037513,
group2,512,9,512,5,8,2,2,32,0.038235,
group2,512,9,512,6,4,2,2,64,0.037643,
group2,512,9,512,7,2,2,2,128,0.037935,
group2,512,9,512,8,1,2,2,256,0.037648,
group2,512,9,1024,0,256,2,2,1,0.037597,0.355914
group2,512,9,1024,1,128,2,2,2,0.037779,
group2,512,9,1024,2,64,2,2,4,0.038153,
group2,512,9,1024,3,32,2,2,8,0.038303,
group2,512,9,1024,4,16,2,2,16,0.038005,
group2,512,9,1024,5,8,2,2,32,0.038294,
