group,N,n,batch_size,stage,a,b,c,d,stage_triton_ms,stage_bmm_ms,total_chain_triton_ms,total_chain_bmm_ms
group2,512,9,2,0,256,2,2,1,0.082921,0.063969,0.772452,0.907166
group2,512,9,2,1,128,2,2,2,0.082771,0.099617,,
group2,512,9,2,2,64,2,2,4,0.082680,0.099584,,
group2,512,9,2,3,32,2,2,8,0.082368,0.099355,,
group2,512,9,2,4,16,2,2,16,0.082764,0.099410,,
group2,512,9,2,5,8,2,2,32,0.082737,0.099110,,
group2,512,9,2,6,4,2,2,64,0.082620,0.099361,,
group2,512,9,2,7,2,2,2,128,0.082467,0.099614,,
group2,512,9,2,8,1,2,2,256,0.082309,0.103792,,
group2,512,9,4,0,256,2,2,1,0.083203,0.063243,0.772819,0.908494
group2,512,9,4,1,128,2,2,2,0.082807,0.098598,,
group2,512,9,4,2,64,2,2,4,0.082797,0.099380,,
group2,512,9,4,3,32,2,2,8,0.082567,0.099109,,
group2,512,9,4,4,16,2,2,16,0.082824,0.099402,,
group2,512,9,4,5,8,2,2,32,0.082680,0.099117,,
group2,512,9,4,6,4,2,2,64,0.083219,0.099929,,
group2,512,9,4,7,2,2,2,128,0.082790,0.099127,,
group2,512,9,4,8,1,2,2,256,0.082797,0.103125,,
group2,512,9,8,0,256,2,2,1,0.083303,0.063473,0.771768,0.909482
group2,512,9,8,1,128,2,2,2,0.082951,0.099447,,
group2,512,9,8,2,64,2,2,4,0.082716,0.099243,,
group2,512,9,8,3,32,2,2,8,0.082761,0.099155,,
group2,512,9,8,4,16,2,2,16,0.082707,0.099415,,
group2,512,9,8,5,8,2,2,32,0.082861,0.098974,,
group2,512,9,8,6,4,2,2,64,0.082925,0.098954,,
group2,512,9,8,7,2,2,2,128,0.082681,0.098800,,
group2,512,9,8,8,1,2,2,256,0.082670,0.102825,,
group2,512,9,16,0,256,2,2,1,0.083257,0.063866,0.781226,0.917714
group2,512,9,16,1,128,2,2,2,0.083664,0.099820,,
group2,512,9,16,2,64,2,2,4,0.082979,0.099797,,
group2,512,9,16,3,32,2,2,8,0.083263,0.099956,,
group2,512,9,16,4,16,2,2,16,0.083513,0.099892,,
group2,512,9,16,5,8,2,2,32,0.083176,0.099975,,
group2,512,9,16,6,4,2,2,64,0.083355,0.099978,,
group2,512,9,16,7,2,2,2,128,0.083442,0.099691,,
group2,512,9,16,8,1,2,2,256,0.083680,0.103581,,
group2,512,9,32,0,256,2,2,1,0.082975,0.063347,0.777271,0.913867
group2,512,9,32,1,128,2,2,2,0.083742,0.099073,,
group2,512,9,32,2,64,2,2,4,0.083095,0.099539,,
group2,512,9,32,3,32,2,2,8,0.082884,0.099513,,
group2,512,9,32,4,16,2,2,16,0.082908,0.099765,,
group2,512,9,32,5,8,2,2,32,0.082861,0.099519,,
group2,512,9,32,6,4,2,2,64,0.082981,0.099751,,
group2,512,9,32,7,2,2,2,128,0.082954,0.099282,,
group2,512,9,32,8,1,2,2,256,0.082879,0.103506,,
group2,512,9,64,0,256,2,2,1,0.083478,0.063221,0.776856,0.908111
group2,512,9,64,1,128,2,2,2,0.083440,0.098504,,
group2,512,9,64,2,64,2,2,4,0.083130,0.099134,,
group2,512,9,64,3,32,2,2,8,0.083109,0.098872,,
group2,512,9,64,4,16,2,2,16,0.083081,0.099096,,
group2,512,9,64,5,8,2,2,32,0.083041,0.098883,,
group2,512,9,64,6,4,2,2,64,0.083053,0.099046,,
group2,512,9,64,7,2,2,2,128,0.082826,0.098796,,
group2,512,9,64,8,1,2,2,256,0.082966,0.102995,,
group2,512,9,128,0,256,2,2,1,0.082734,0.062792,0.767582,0.896614
group2,512,9,128,1,128,2,2,2,0.082806,0.099306,,
group2,512,9,128,2,64,2,2,4,0.082767,0.099119,,
group2,512,9,128,3,32,2,2,8,0.082585,0.099081,,
group2,512,9,128,4,16,2,2,16,0.083223,0.099140,,
group2,512,9,128,5,8,2,2,32,0.082576,0.099149,,
group2,512,9,128,6,4,2,2,64,0.082688,0.100009,,
group2,512,9,128,7,2,2,2,128,0.082536,0.099904,,
group2,512,9,128,8,1,2,2,256,0.082990,0.102619,,
group2,512,9,256,0,256,2,2,1,0.082955,0.062595,0.774692,0.907229
group2,512,9,256,1,128,2,2,2,0.083188,0.099308,,
group2,512,9,256,2,64,2,2,4,0.082916,0.099718,,
group2,512,9,256,3,32,2,2,8,0.082803,0.098977,,
group2,512,9,256,4,16,2,2,16,0.082848,0.099666,,
group2,512,9,256,5,8,2,2,32,0.083003,0.098824,,
group2,512,9,256,6,4,2,2,64,0.082888,0.099732,,
group2,512,9,256,7,2,2,2,128,0.082841,0.099162,,
group2,512,9,256,8,1,2,2,256,0.083029,0.102741,,
