patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
"[[1, 48, 48, 1]]",25088,kernel,3.38E-05,3.38E-05,0,[3.383355215191841e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 48, 192, 1]]",25088,kernel,3.41E-05,3.41E-05,0,[3.406604751944542e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 64, 64, 1]]",25088,kernel,3.41E-05,3.41E-05,0,[3.407476469874382e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 64, 256, 1]]",25088,kernel,4.28E-05,4.28E-05,0,[4.27773967385292e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 96, 1]]",25088,kernel,3.56E-05,3.56E-05,0,[3.557551652193069e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 1]]",25088,kernel,0.000102726,0.000102726,0,[0.00010272625833749771],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 1]]",25088,kernel,4.77E-05,4.77E-05,0,[4.772316664457321e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 1]]",25088,kernel,0.00015741,0.00015741,0,[0.00015741031616926194],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 1]]",25088,kernel,4.36E-05,4.36E-05,0,[4.3648872524499896e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 1]]",25088,kernel,7.83E-05,7.83E-05,0,[7.825566455721856e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 1]]",25088,kernel,0.000323838,0.000323838,0,[0.0003238377533853054],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 1]]",25088,kernel,6.04E-05,6.04E-05,0,[6.037633866071701e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 256, 1]]",25088,kernel,0.000140976,0.000140976,0,[0.0001409761980175972],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 1024, 1]]",25088,kernel,0.000474431,0.000474431,0,[0.00047443078830838203],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 384, 96, 1]]",25088,kernel,0.000109694,0.000109694,0,[0.00010969402268528938],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 384, 384, 1]]",25088,kernel,0.000340312,0.000340312,0,[0.00034031152725219724],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 128, 1]]",25088,kernel,0.000153412,0.000153412,0,[0.00015341158956289292],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 512, 1]]",25088,kernel,0.000488191,0.000488191,0,[0.0004881911724805832],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 192, 1]]",25088,kernel,0.000308983,0.000308983,0,[0.0003089825250208378],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 768, 1]]",25088,kernel,0.001026432,0.001026432,0,[0.0010264316573739053],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 256, 1]]",25088,kernel,0.00051509,0.00051509,0,[0.0005150897614657879],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 1024, 1]]",25088,kernel,0.001779157,0.001779157,0,[0.0017791569232940673],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 48, 48, 1]]",25088,kernel,4.57E-05,4.57E-05,0,[4.572773352265358e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 48, 192, 1]]",25088,kernel,5.78E-05,5.78E-05,0,[5.7767163962125775e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 64, 64, 1]]",25088,kernel,4.05E-05,4.05E-05,0,[4.046626389026642e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 64, 256, 1]]",25088,kernel,0.000115547,0.000115547,0,[0.00011554732918739319],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 96, 96, 1]]",25088,kernel,6.64E-05,6.64E-05,0,[6.643902510404587e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 96, 384, 1]]",25088,kernel,0.000162433,0.000162433,0,[0.0001624327152967453],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 128, 128, 1]]",25088,kernel,7.83E-05,7.83E-05,0,[7.827252149581909e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 128, 512, 1]]",25088,kernel,0.000280655,0.000280655,0,[0.0002806553430855274],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 192, 48, 1]]",25088,kernel,7.41E-05,7.41E-05,0,[7.411684840917587e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
