a,b,c,d,batch_size,dim_in,dim_out,dtype,bs_last,warmup,iters,cuda_ms,triton_ms,cuda_error
1,64,64,1,4096,64,64,float16,False,100,1000,,0.065808,
1,64,64,2,4096,128,128,float16,False,100,1000,,0.066091,
1,64,64,4,4096,256,256,float16,False,100,1000,,0.066250,
1,64,128,1,4096,128,64,float16,False,100,1000,,0.065527,
1,64,128,2,4096,256,128,float16,False,100,1000,,0.066180,
1,64,128,4,4096,512,256,float16,False,100,1000,,0.065866,
1,64,256,1,4096,256,64,float16,False,100,1000,,0.066237,
1,64,256,2,4096,512,128,float16,False,100,1000,,0.066121,
1,64,256,4,4096,1024,256,float16,False,100,1000,,0.065715,
1,64,512,1,4096,512,64,float16,False,100,1000,,0.065827,
1,64,512,2,4096,1024,128,float16,False,100,1000,,0.066464,
1,64,512,4,4096,2048,256,float16,False,100,1000,,0.112137,
1,128,64,1,4096,64,128,float16,False,100,1000,,0.066426,
1,128,64,2,4096,128,256,float16,False,100,1000,,0.067683,
1,128,64,4,4096,256,512,float16,False,100,1000,,0.066377,
1,128,128,1,4096,128,128,float16,False,100,1000,,0.067420,
1,128,128,2,4096,256,256,float16,False,100,1000,,0.085649,
1,128,128,4,4096,512,512,float16,False,100,1000,,0.066762,
1,128,256,1,4096,256,128,float16,False,100,1000,,0.069987,
1,128,256,2,4096,512,256,float16,False,100,1000,,0.066504,
1,128,256,4,4096,1024,512,float16,False,100,1000,,0.084765,
1,128,512,1,4096,512,128,float16,False,100,1000,,0.066779,
1,128,512,2,4096,1024,256,float16,False,100,1000,,0.076891,
1,128,512,4,4096,2048,512,float16,False,100,1000,,0.149590,
1,256,64,1,4096,64,256,float16,False,100,1000,,0.066443,
1,256,64,2,4096,128,512,float16,False,100,1000,,0.067848,
1,256,64,4,4096,256,1024,float16,False,100,1000,,0.067395,
1,256,128,1,4096,128,256,float16,False,100,1000,,0.067574,
1,256,128,2,4096,256,512,float16,False,100,1000,,0.066082,
1,256,128,4,4096,512,1024,float16,False,100,1000,,0.090065,
1,256,256,1,4096,256,256,float16,False,100,1000,,0.065711,
1,256,256,2,4096,512,512,float16,False,100,1000,,0.072066,
1,256,256,4,4096,1024,1024,float16,False,100,1000,,0.136321,
1,256,512,1,4096,512,256,float16,False,100,1000,,0.076021,
1,256,512,2,4096,1024,512,float16,False,100,1000,,0.118747,
1,256,512,4,4096,2048,1024,float16,False,100,1000,,0.225143,
